01-required-core-loading|1|Camille Sato|required Core and provider pack loading, typed participation provenance, deny-by-default loaders, bypass containment, fail-closed behavior|Which single production loader API all behavior-driving cmd/gc and config paths must use, and what test fails on direct config.Load bypasses?;Can strict validation prove Core and provider pack participation from resolved config edges, not path or digest coincidence, before any orders, prompts, formulas, scripts, or API state read behavior?;What degraded or operator-visible path exists when Core integrity fails during live reload, and does it avoid silently continuing with stale behavior?|Core absence is only a doctor warning after behavior already loaded;token scanners miss wrapper, alias, function-value, or generated API loader bypasses;a corrupted or partially materialized system pack is accepted because path and digest checks are conflated
02-behavior-evidence-chain|1|Oleg Marchetti|Gastown behavior inventory completeness, execution-level witnesses, cross-repo packcompat, old-to-new traceability, source deletion gate|Does the generated inventory enumerate every requester, detector, notification, prompt, order, mail, nudge, and script trigger removed from Core?;For each moved behavior, what old Gas City witness and final gascity-packs witness prove the same trigger fires through normal resolution from the exact public pin?;How does CI prevent deleting or generalizing a behavior before the gascity-packs landing commit and trace row are present?|manifest rows are hand-curated, path-only, or existence-only;behaviors with no old tests quietly require no witness;Gas City consumes copied assets instead of verifying the pinned public checkout
03-doctor-mutation-safety|1|Leah Okafor|doctor fix coordinator atomicity, byte-preserving TOML, concurrency with live controllers, advisory locks, idempotent recovery|Do all doctor --fix paths stage FixIntent objects before mutation and hold a city advisory lock across stage, validate, compare-before-rename, and publish?;When scoped TOML edits cannot preserve comments or unknown fields byte-for-byte outside intended changes, does the fixer refuse rather than rewrite whole files?;What recovery is specified for crashes or concurrent old and new binaries between per-file renames so cities cannot remain half-migrated?|cross-file failure-atomicity is claimed from per-file rename semantics;doctor rewrites user imports or local forks without proof they are system-generated;network, lock loss, or live controller races can leave city.toml and runtime state inconsistent
04-role-neutrality-zfc|1|Anand Krishnaswamy|zero hardcoded roles in Go and assets, symbolic maintenance_worker binding, SDK self-sufficiency, ZFC judgment containment|After binding indirection, does any Go, prompt asset, script, formula, order, generated help, or API route still branch on dog, Mayor, Maintenance, or another concrete role name?;Can controller-owned SDK operations still run when the configured maintenance worker is renamed or omitted, with no dependency on a user agent entry?;Are role-name allowlists narrow, time-bounded, and failing when compatibility fixtures leak into live behavior?|gc.routed_to, mail, nudge, warmup, or theme logic still hardcodes dog or Gastown roles;default binding behavior encodes a Go judgment call instead of pure transport;scanner coverage excludes scripts, overlays, docs, dashboard types, or generated fixtures
05-public-pack-pin-cache|1|Lena Hoffmann|public Gastown pin integrity, immutable content hash, RepoCacheKey identity, synthetic alias retirement, offline and rollback behavior|Are PublicGastownPackVersion, pins.yaml, registry source, packcompat, and direct cache proof all bound to the same immutable commit and subpath?;Can any stale synthetic alias, embedded bytes, lock refresh, install path, or offline upgrade select retired Gastown or Maintenance content after the public pin lands?;What deployable state and rollback narrative exist across the window between gascity-packs landing and Gas City activation pin update?|mutable branch or tag pinning lets fetched behavior drift;cache promotion launders stale bytes without digest verification;offline or rollback paths silently fall back to embedded retired behavior
06-pack-boundary-containment|1|Owen Gallagher|Core versus Gastown ownership split, retired Maintenance source containment, active discovery classifier, no duplicate active behavior|Is there one classifier API used before config load, install, cache lock, validation, discovery, docs lint, prompt, formula, order, script, and hook enumeration?;Does a city running Core plus public Gastown and no Maintenance preserve Gastown-specific behavior without shared Core conditionals?;Can stale in-tree Gastown or Maintenance directories remain on disk without entering active prompts, formulas, orders, scripts, hooks, or rollback states?|independent globs bypass retired-source classification;shared Core assets retain Gastown-specific branches instead of moving them to gascity-packs;duplicate formulas, orders, prompts, or scripts are active during compatibility or rollback
07-bootstrap-fixture-isolation|1|Hiroshi Tanabe|production Core embed removal, non-nil empty bootstrap fs, fixture-only tests, GC_BOOTSTRAP skip containment, hidden dependency inventory|After removing production Core from bootstrap embeds, what compile-time or CI check proves no production path imports the deleted bootstrap Core package?;Are tests that need Core assets using minimal fstest fixtures or the relocated system-pack wrapper, not copied production Core snapshots?;Is GC_BOOTSTRAP=skip narrowed to fixture or no-Core tests and structurally unreachable as a production required-system-pack bypass?|nil fs.FS or AssetDir packs/core panics survive after embed removal;test fixture copies drift from shipped Core with no freshness check;hooks, overlays, or prompt tests hide a dependency on internal/bootstrap/packs/core
08-runtime-state-migration|1|Yelena Markovic|Maintenance to Core runtime state migration, jsonl and archive state, spawn-storm ledgers, non-destructive markers, old/new binary concurrency, downgrade continuity|Are jsonl state, archive remotes and refs, spawn-storm ledgers, order skip lists, and escalation fields migrated or preserved with non-destructive markers?;If an old binary writes legacy Maintenance state after the migration-completed marker, how does the new binary detect and handle divergence without data loss?;What round-trip test covers interrupted archive copy, in-flight push state, duplicate writers, and rollback to an older binary?|destination-absent copy races two processes or treats half-copied archives as complete;post-marker old-binary writes are silently ignored;renamed orders break existing skip lists or duplicate pending pushes
09-rollout-decomposition-gates|1|Iris Kowalski|independently deployable slices, decomposition readiness, prerequisite honesty, exact gates, cross-repo sequencing and test coverage|Can tasks be cut so each slice names concrete files, acceptance gates, cross-repo prerequisites, and a revert or one-way upgrade boundary before merge?;Are open questions truly resolved, or are ownership audits, generated artifacts, and gascity-packs branch availability deferred as hidden blockers?;Does each intermediate commit pass the documented local gates and exercise production loaders rather than copied fixtures or direct config.Load shortcuts?|tasks batch pin changes, source deletion, doctor mutation, docs, and activation into one fragile landing;status says decomposition-ready while required generators or public pack commits do not exist;fast unit tests are used as the only proof for loader, doctor, runtime-state, and cross-repo behavior changes
10-operator-docs-schema|1|Claire Dubois|operator upgrade DX, terminology matrix, docs and schema generated artifacts, doctor messages, tutorial integrity|Do docs, doctor output, CLI help, generated references, tutorials, and schema artifacts use the same Core, Gastown, retired Maintenance, and store-maintenance vocabulary?;Is the wording matrix executable enough to distinguish retired pack references from legitimate lowercase maintenance or Dolt/store maintenance terms?;Can a new or upgrading operator follow one narrative from missing orders or stale packs through doctor diagnostics, public pin verification, and recovery?|operator-facing behavior changes ship with stale docs or non-release docs debt;wording lint creates noisy false positives and gets suppressed wholesale;doctor diagnostics, tutorials, or generated schema still point operators to Maintenance or in-tree Gastown
