01-mutation-boundary-auditor|1|Elena Marchetti|session lifecycle ownership, external metadata write audit, patch-map escape hatches, CI guard coverage|Which production call sites still write lifecycle or identity metadata directly, and does each backlog slice name the call sites it removes?;What failing-build guard prevents new non-session production code from applying session patch maps or SetMetadata lifecycle writes?;How are doctor, migration, repair, and test exceptions bounded so ordinary callers cannot self-label into them?|production callers outside internal/session keep writing lifecycle metadata after command APIs ship;patch helpers remain reachable with no static guard;exception list grows into a permanent bypass
02-behavior-parity-guardian|1|Natasha Volkov|REQUIREMENTS scenario parity, regression prevention, characterization tests, proof freshness|Which REQUIREMENTS.md scenario rows does each extraction slice touch, and where is parity proven before the slice lands?;Are characterization tests captured before moving logic out of reconciler or manager code?;How does the plan prevent cited proof paths from going stale as implementation files change?|backlog slices lack scenario-row mapping;tests assert implementation shape but not product behavior;requirements ledger is updated to fit the refactor without owner-approved behavior change
03-decider-atomicity-enforcer|1|Takeshi Yamamoto|pure deciders, optimistic concurrency, commit-event-intent ordering, stale fact defense|Can each decider run with only immutable facts and no store, runtime, config, or clock reads?;What compare-and-swap or revalidation happens immediately before mutation commit?;When a decision returns both SessionMutation and RuntimeIntent, what is the exact commit, event emission, runtime execution, and failure ordering?|decider queries store or runtime during evaluation;mutation commit is not conditional on the validated snapshot;runtime failure after durable mutation leaves no defined reconciliation or rollback path
04-event-delivery-contract-reviewer|1|Amara Osei|factual session events, idempotent subscribers, crash recovery, work-release guarantee|Are SessionEvent payloads facts with stable identifiers rather than commands to work, mail, trace, or extmsg?;If the process crashes after a durable session mutation but before in-process event delivery, how does a safety-critical subscriber such as work release converge?;Which reactions are critical versus best-effort, and is the recovery path documented for each?|event payloads encode imperative subscriber instructions;work release depends only on observing an in-process event;payloads omit identity context needed for idempotent replay or reconciliation
05-target-identity-classifier|1|Amara Diallo|target taxonomy, alias precedence, conflict cases, caller behavior preservation|Does the classifier preserve direct bead ID, live session_name, live alias, named config, template target, path alias, not-found, and ambiguous cases with one precedence order?;How are overlapping alias, config name, and template name inputs represented without misrouting?;Which API, mail, assignee, and extmsg behaviors change when classification centralizes, and which tests catch each divergence?|classifier output is reinterpreted differently by caller;resolution order differs from existing target-resolution tests;historical aliases become writable live targets
06-api-cli-worker-boundary-reviewer|2|Sarah Chen|API and CLI projection, worker boundary routing, response compatibility, layering|Do API and CLI callers consume session-owned commands and projections instead of re-deriving lifecycle from raw metadata?;How does new cmd/gc production code stay on worker.Handle while session-owned commands are adopted?;What proves API response shapes and CLI output stay identical for touched scenario rows?|API handlers duplicate lifecycle logic from metadata;cmd/gc imports direct session manager creation paths outside allowed exceptions;target classification changes wire or CLI output without scenario coverage
07-reconciler-runtime-fact-reviewer|2|Liam Okonkwo|reconciler boundary, runtime intent adapter ownership, fact isolation, health gate split|Which wake, hold, drain, provider-health, and progress decisions move into session deciders, and which scheduling or budget responsibilities remain in the reconciler?;Are work counts, pool size, runtime liveness, and progress facts precomputed by adapters instead of queried from deciders?;Can RuntimeIntent express adapter needs without smuggling provider policy into internal/session?|session deciders import reconciler helper types or bead store queries;runtime missing observations become durable session truth;wake eligibility and health gates share helper code that cannot move cleanly
08-migration-coexistence-strategist|2|Ravi Krishnamurthy|migration sequencing, legacy-new coexistence, rollback slices, worker-boundary collision|How does the plan sequence this extraction with the in-flight worker-boundary migration on overlapping cmd/gc and internal/api call sites?;During partial adoption, what prevents legacy patch-map callers and new command callers from split-brain writes to the same metadata fields?;Which single slice is independently shippable and revertible, and what proves it does not silently require the next slice?|two half-finished boundaries collide on the same call sites;old and new writers mutate the same fields with different validation;backlog item cannot ship or roll back without a hidden flag day
09-yagni-contract-scope-reviewer|3|Kwame Asante|minimal vocabulary, facade creep, event-log deferral, backlog scope control|Which vocabulary types are required by slice 1 target classification versus introduced only for later slices?;Does TR-007 future durable-event compatibility shape current APIs more than today's in-process events require?;What stops SessionFacts from becoming a broad facade accumulating every field any decider might want?|unused vocabulary lands before any slice needs it;event payloads are contorted for speculative event sourcing;one mega SessionFacts struct replaces many operation-specific facts
10-operability-performance-diagnostics|3|Ingrid Holm|decision observability, trace and doctor diagnostics, fact read cost, event fan-out load|Can operators explain why a session was blocked, woken, drained, or closed from decider output and trace evidence alone?;What do gc trace, conflicts, and event logs show when a decision is rejected or an event is missed?;What is the reconciler cost of materializing facts and emitting subscriber events across a large city?|decider results hide blocker or wake-cause details;doctor or repair flows keep writing lifecycle metadata through legacy paths;per-session fact reads or synchronous event fan-out slow hot reconciler loops
